column,type,unique values,example,description
TYPEHUQ,int,"{1, 2, 3, 4, 5}",,
KOWNRENT,int,"{1, 2, 3}",,
YEARMADERANGE,int,"[1600, 2024]",,
VACANT,int,"{-4, 0, 1}",,
SQFTEST,int,"[0, 99,999)]",,
BEDROOMS,int,"{0, 9}",,
NCOMBATH,int,"{0, 9}",,
NHAFBATH,int,"{0, 9}",,
OTHROOMS,int,"{0, 99}",,
WALLTYPE,int,"{-4, 1, 2, 3, 4, 5, 6, 7, 99}",,
ROOFTYPE,int,"{-4, 1, 2, 3, 4, 5, 6, 99}",,
HIGHCEIL,int,"{0,1}",,
DOOR1SUM,int,"{0, 9}",,
WINDOWS,int,"{-4, 1, 2, 3, 4, 5, 6, 7}",,
TYPEGLASS,int,"{-4, 1, 2, 3}",,
ORIGWIN,int,"{-4, 0, 1}",,
WINFRAME,int,"{-4, 1, 2, 3, 4, 5}",,
TREESHAD,int,"{0,1}",,
ADQINSUL,int,"{1, 4}",,
DRAFTY,int,"{1, 4}",,
UGASHERE,int,"{-4, 0 , 1}",,
SWIMPOOL,int,"{0, 1}",,
RECBATH,int,"{0, 1}",,
NUMFRIG,int,"[0,9]",,
NUMFREEZE,int,"[0,9]",,
RANGE,int,"[0,9]",,
COOKTOP,int,"[0,9]",,
OVEN,int,"[0,9]",,
MICRO,int ,"[0,9]",,
AMTMICRO,int,"[0,99]",,
OUTGRILLFUEL,int,"{0, 1, 2, 23}",,
NUMMEAL,int,"[0, 6]",,
USECOFFEE,int,"[0,3]",,
TOAST,int,"[0,1]",,
TOASTOVN,int,"[0,1]",,
CROCKPOT,int,"[0,1]",,
PRSSCOOK,int,"[0,1]",,
RICECOOK,int,"[0,1]",,
BLENDER,int,"[0,1]",,
DISHWASH,int,"[0,1]",,
TVCOLOR,int,"[0,99]",,
CABLESAT,int,"[0,99]",,
COMBODVR,int,"[0,99]",,
SEPDVR,int,"[0,99]",,
INTSTREAM,int,"[0,99]",,
PLAYSTA,int,"[0,99]",,
DVD,int,"[0,99]",,
VCR,int,"[0,99]",,
TVAUDIOSYS,int,"[0,99]",,
DESKTOP,int,"[0,99]",,
NUMLAPTOP,int,"[0,99]",,
NUMTABLET,int,"[0,99]",,
ELPERIPH,int,"[0,99]",,
NUMSMPHONE,int,"[0,99]",,
CELLPHONE,int,"[0,99]",,
TELLWORK,int,"[0,1]",,
INTERNET,int,"[0,2]",,
HEATHOME,int,"[1,3]",,
HUMIDTYPE,int,"[0,2]",,
AIRCOND,int,"[0,1]",,
NUMCFAN,int,"[0,99]",,
NUMFLOORFAN,int,"[0,99]",,
DEHUMTYPE,int,"[0,2]",,
WHEATSIZ,int,"{-4, 1, 2, 3, 4}",,
WHEATAGE,int,"{-4, 1, 2, 3, 4, 5, 6}",,
FUELH2O,int,"{-4, 1, 2, 3, 5, 7, 8, 99}",,
MORETHAN1H2O,int,"{-4, 0, 1}",,
LGTIN1T04,int,"[0, 99]",,
LGTIN4TO8,int,"[0, 99]",,
LGTINMORE8,int,"[0, 99]",,
LGTINLED,int,"[0, 4]",,
LGTINCFL,int,"[0, 4]",,
LGTINCAN,int,"[0, 4]",,
LGOUTANY,int,"[0,1]",,
ELPAY,int,"{-4, 1, 2, 3, 99}",,
NGPAY,int,"{-4, -3, 1, 2, 3, 99}",,
LPGPAY,int,"{-4, -3, 1, 2, 3, 99}",,
FOPAY,int,"{-4, -3, 1, 2, 3, 99}",,
KFUELOT,int,"[0,1]",,
SMARTMETER,int,"{-4, 0 , 1}",,
MEDICALDEV,int,"[0,1]",,
POWEROUT,int,"{-4, 0, 1}",,
BACKUP,int,"[0,1]",,
NOGEN,int,"[0,1]",,
SOLAR,int,"[0,1]",,
WINDOWS,int,"[0,1]",,
COMBINED,int,"[0,1]",,
ELECVEH,int,"[0,1]",,
HHSEX,int,"[1,2]",,
HHAGE,int,"[18, 110]",,
EMPLOYHH,int,"[1,4]",,
EDUCATION,int,"[1, 5]",,
NHSLDMEM,int,"[1, 20]",,
NUMCHILD,int,"[0, 20]",,
NUMADULT1,int,"[0, 20]",,
NUMADULT2,int,"[0, 20]",,
ATHOME,int,"[0, 5]",,
MONEYPY,int,"[1, 16]",,
SCALEB,int,"[0, 3]",,
SCALEG,int,"[0, 3]",,
SCALEE,int,"[0, 3]",,
NOTHEATBROKE,int,"[0, 1]",,
NOHEATEL,int,"[0, 1]",,
NOHEATNG,int,"[0, 1]",,
NOHEATBULK,int,"[0, 1]",,
NOTHEATNONE,int,"[0, 1]",,
COLDMA,int,"[0, 1]",,
NOACBROKE,int,"[0, 1]",,
NOACEL,int,"[0, 1]",,
NOACNONE,int,"[0, 1]",,
HOTMA,int,"[0, 1]",,
ENERGYASST,int,"[0, 1]",,